Model,FPR,TPR,AUC
Random Forest,0.34054078299157503,1.0,0.9996587466056626
Random Forest,0.3417817282030964,1.0,0.9996587466056626
Random Forest,0.3456705215707675,1.0,0.9996587466056626
Random Forest,0.3473345842459763,1.0,0.9996587466056626
Random Forest,0.3479520666223116,1.0,0.9996587466056626
Random Forest,0.34938139628763015,1.0,0.9996587466056626
Random Forest,0.34979255283361615,1.0,0.9996587466056626
Random Forest,0.35059393431961067,1.0,0.9996587466056626
Random Forest,0.3510933026336446,1.0,0.9996587466056626
Random Forest,0.35160014652124183,1.0,0.9996587466056626
Random Forest,0.35227444325665885,1.0,0.9996587466056626
Random Forest,0.3532133752962196,1.0,0.9996587466056626
Random Forest,0.3535692125978366,1.0,0.9996587466056626
Random Forest,0.3541627731387691,1.0,0.9996587466056626
Random Forest,0.3546875584029185,1.0,0.9996587466056626
Random Forest,0.3558851452877722,1.0,0.9996587466056626
Random Forest,0.356726894871009,1.0,0.9996587466056626
Random Forest,0.35701844223998086,1.0,0.9996587466056626
Random Forest,0.3576718073694204,1.0,0.9996587466056626
Random Forest,0.35804259581816417,1.0,0.9996587466056626
Random Forest,0.35853149832920933,1.0,0.9996587466056626
Random Forest,0.3590682445110601,1.0,0.9996587466056626
Random Forest,0.3598187920968236,1.0,0.9996587466056626
Random Forest,0.3618117800088212,1.0,0.9996587466056626
Random Forest,0.3622154609812438,1.0,0.9996587466056626
Random Forest,0.3625982103476889,1.0,0.9996587466056626
Random Forest,0.3630153473525256,1.0,0.9996587466056626
Random Forest,0.363951289162661,1.0,0.9996587466056626
Random Forest,0.3644431819031315,1.0,0.9996587466056626
Random Forest,0.3739894893435699,1.0,0.9996587466056626
Random Forest,0.3750181282658912,1.0,0.9996587466056626
Random Forest,0.3753590144203814,1.0,0.9996587466056626
Random Forest,0.3756999005748716,1.0,0.9996587466056626
Random Forest,0.37644895304592246,1.0,0.9996587466056626
Random Forest,0.3768496437889197,1.0,0.9996587466056626
Random Forest,0.37709932794593665,1.0,0.9996587466056626
Random Forest,0.37750300891835925,1.0,0.9996587466056626
Random Forest,0.3777975465167565,1.0,0.9996587466056626
Random Forest,0.37844642630205805,1.0,0.9996587466056626
Random Forest,0.3791999641172469,1.0,0.9996587466056626
Random Forest,0.3795258991246103,1.0,0.9996587466056626
Random Forest,0.38057098430877107,1.0,0.9996587466056626
Random Forest,0.3811331474407374,1.0,0.9996587466056626
Random Forest,0.38177604676718824,1.0,0.9996587466056626
Random Forest,0.38225448347524466,1.0,0.9996587466056626
Random Forest,0.3825863989414588,1.0,0.9996587466056626
Random Forest,0.38365241573159703,1.0,0.9996587466056626
Random Forest,0.38394844844470694,1.0,0.9996587466056626
Random Forest,0.3842833541403464,1.0,0.9996587466056626
Random Forest,0.38474833481598875,1.0,0.9996587466056626
Random Forest,0.3855108433194537,1.0,0.9996587466056626
Random Forest,0.38598778491279745,1.0,0.9996587466056626
Random Forest,0.3871749059946624,1.0,0.9996587466056626
Random Forest,0.3878207955505386,1.0,0.9996587466056626
Random Forest,0.389685203597246,1.0,0.9996587466056626
Random Forest,0.3923883709977648,1.0,0.9996587466056626
Random Forest,0.39334524441387764,1.0,0.9996587466056626
Random Forest,0.3955296070090978,1.0,0.9996587466056626
Random Forest,0.39591086126083025,1.0,0.9996587466056626
Random Forest,0.3975166144622446,1.0,0.9996587466056626
Random Forest,0.4044778685644656,1.0,0.9996587466056626
Random Forest,0.40518057247942346,1.0,0.9996587466056626
Random Forest,0.40563060200793905,1.0,0.9996587466056626
Random Forest,0.4068281888927928,1.0,0.9996587466056626
Random Forest,0.4089497566700805,1.0,0.9996587466056626
Random Forest,0.4094102520015848,1.0,0.9996587466056626
Random Forest,0.4097451576972243,1.0,0.9996587466056626
Random Forest,0.4100875389664272,1.0,0.9996587466056626
Random Forest,0.4111356143800133,1.0,0.9996587466056626
Random Forest,0.4117680479034754,1.0,0.9996587466056626
Random Forest,0.41264119489567835,1.0,0.9996587466056626
Random Forest,0.41364441686788417,1.0,0.9996587466056626
Random Forest,0.416250401812079,1.0,0.9996587466056626
Random Forest,0.41840187188362027,1.0,0.9996587466056626
Random Forest,0.4220125739147336,1.0,0.9996587466056626
Random Forest,0.43243352346208763,1.0,0.9996587466056626
Random Forest,0.4336101787409639,1.0,0.9996587466056626
Random Forest,0.43428298036166824,1.0,0.9996587466056626
Random Forest,0.43591863585733615,1.0,0.9996587466056626
Random Forest,0.4710807436700581,1.0,0.9996587466056626
Random Forest,0.5116671276603697,1.0,0.9996587466056626
Random Forest,0.515790654037931,1.0,0.9996587466056626
Random Forest,0.5175444235959004,1.0,0.9996587466056626
Random Forest,0.5179645508301625,1.0,0.9996587466056626
Random Forest,0.5189094633285739,1.0,0.9996587466056626
Random Forest,0.5192533397124894,1.0,0.9996587466056626
Random Forest,0.5197213106175571,1.0,0.9996587466056626
Random Forest,0.5202191838168784,1.0,0.9996587466056626
Random Forest,0.5209517900260897,1.0,0.9996587466056626
Random Forest,0.5214018195546053,1.0,0.9996587466056626
Random Forest,0.5222570251702562,1.0,0.9996587466056626
Random Forest,0.5247359253638736,1.0,0.9996587466056626
Random Forest,0.5255343166204427,1.0,0.9996587466056626
Random Forest,0.5259409878222907,1.0,0.9996587466056626
Random Forest,0.5265599653133387,1.0,0.9996587466056626
Random Forest,0.5276768160037079,1.0,0.9996587466056626
Random Forest,0.5319648049996636,1.0,0.9996587466056626
Random Forest,0.5326914307500243,1.0,0.9996587466056626
Random Forest,0.5331952844081962,1.0,0.9996587466056626
Random Forest,0.533727545245909,1.0,0.9996587466056626
Random Forest,0.5346649821707571,1.0,0.9996587466056626
Random Forest,0.5354334711330727,1.0,0.9996587466056626
Random Forest,0.5363425008783799,1.0,0.9996587466056626
Random Forest,0.5369136346986223,1.0,0.9996587466056626
Random Forest,0.5374204785862196,1.0,0.9996587466056626
Random Forest,0.5383878178053211,1.0,0.9996587466056626
Random Forest,0.5413616009688343,1.0,0.9996587466056626
Random Forest,0.5426922530631163,1.0,0.9996587466056626
Random Forest,0.544152980137401,1.0,0.9996587466056626
Random Forest,0.5451262998153533,1.0,0.9996587466056626
Random Forest,0.5456585606530661,1.0,0.9996587466056626
Random Forest,0.5467559748521705,1.0,0.9996587466056626
Random Forest,0.5553110212381045,1.0,0.9996587466056626
Random Forest,0.5606515709917843,1.0,0.9996587466056626
Random Forest,0.5628807870283847,1.0,0.9996587466056626
Random Forest,0.5640140839805934,1.0,0.9996587466056626
Random Forest,0.5648423775314161,1.0,0.9996587466056626
Random Forest,0.5655032182344191,1.0,0.9996587466056626
Random Forest,0.5659113845509797,1.0,0.9996587466056626
Random Forest,0.5678116753507912,1.0,0.9996587466056626
Random Forest,0.5684336430712646,1.0,0.9996587466056626
Random Forest,0.5706045496340707,1.0,0.9996587466056626
Random Forest,0.5710590645067243,1.0,0.9996587466056626
Random Forest,0.5716316934416793,1.0,0.9996587466056626
Random Forest,0.5724196188952597,1.0,0.9996587466056626
Random Forest,0.6642854473009442,1.0,0.9996587466056626
Random Forest,0.6646203529965836,1.0,0.9996587466056626
Random Forest,0.6657895327018966,1.0,0.9996587466056626
Random Forest,0.6675836703571082,1.0,0.9996587466056626
Random Forest,0.6682594622072379,1.0,0.9996587466056626
Random Forest,0.6705813753560242,1.0,0.9996587466056626
Random Forest,0.6720435975450216,1.0,0.9996587466056626
Random Forest,0.6798361354274907,1.0,0.9996587466056626
Random Forest,0.680199448302671,1.0,0.9996587466056626
Random Forest,0.6811667875217726,1.0,0.9996587466056626
Random Forest,0.6820444198581136,1.0,0.9996587466056626
Random Forest,0.6823210160799588,1.0,0.9996587466056626
Random Forest,0.6830132541919278,1.0,0.9996587466056626
Random Forest,0.683544019914928,1.0,0.9996587466056626
Random Forest,0.6840912318997675,1.0,0.9996587466056626
Random Forest,0.6844650105779366,1.0,0.9996587466056626
Random Forest,0.6858300503106101,1.0,0.9996587466056626
Random Forest,0.6899954399001264,1.0,0.9996587466056626
Random Forest,0.690675717094394,1.0,0.9996587466056626
Random Forest,0.6917222973932675,1.0,0.9996587466056626
Random Forest,0.6939395525121665,1.0,0.9996587466056626
Random Forest,0.6952866508682879,1.0,0.9996587466056626
Random Forest,0.6974231697927024,1.0,0.9996587466056626
Random Forest,0.701193849098072,1.0,0.9996587466056626
Random Forest,0.7099402701672286,1.0,0.9996587466056626
Random Forest,0.7104426287106879,1.0,0.9996587466056626
Random Forest,0.7113097952440401,1.0,0.9996587466056626
Random Forest,0.7194013560690444,1.0,0.9996587466056626
Random Forest,0.7218069956417407,1.0,0.9996587466056626
Random Forest,0.7534869812886393,1.0,0.9996587466056626
Random Forest,0.7549641546247636,1.0,0.9996587466056626
